Date,Winner,Pts,Loser,Pts
//1
Sep 3 2020,Alabama-Birmingham,45,Central Arkansas,35
Sep 3 2020,South Alabama,32,Southern Mississippi,21
Sep 5 2020,Army,42,Middle Tennessee State,0
Sep 5 2020,Marshall,59,Eastern Kentucky,0
Sep 5 2020,Memphis,37,Arkansas State,24
Sep 5 2020,North Texas,57,Houston Baptist,31
Sep 5 2020,Southern Methodist,31,Texas State,24
Sep 5 2020,Texas-El Paso,24,Stephen F. Austin,14
Sep 7 2020,Brigham Young,55,Navy,3
//2
Sep 10 2020,Miami (FL),31,Alabama-Birmingham,14
Sep 12 2020,Appalachian State,35,Charlotte,20
Sep 12 2020,Arkansas State,35,Kansas State,31
Sep 12 2020,Army,37,Louisiana-Monroe,7
Sep 12 2020,Clemson,37,Wake Forest,13
Sep 12 2020,Coastal Carolina,38,Kansas,23
Sep 12 2020,Georgia Southern,27,Campbell,26
Sep 12 2020,Georgia Tech,16,Florida State,13
Sep 12 2020,Louisiana,31,Iowa State,14
Sep 12 2020,Louisville,35,Western Kentucky,21
Sep 12 2020,North Carolina,31,Syracuse,6
Sep 12 2020,Notre Dame,27,Duke,13
Sep 12 2020,Oklahoma,48,Missouri State,0
Sep 12 2020,Pittsburgh,55,Austin Peay,0
Sep 12 2020,South Florida,27,Citadel,6
Sep 12 2020,Texas,59,Texas-El Paso,3
Sep 12 2020,Texas Tech,35,Houston Baptist,33
Sep 12 2020,Texas-San Antonio,51,Texas State,48
Sep 12 2020,Tulane,27,South Alabama,24
Sep 12 2020,West Virginia,56,Eastern Kentucky,10
//3
Sep 18 2020,Coastal Carolina,43,Campbell,21
Sep 19 2020,Boston College,26,Duke,6
Sep 19 2020,Central Florida,49,Georgia Tech,21
Sep 19 2020,Cincinnati,55,Austin Peay,20
Sep 19 2020,Clemson,49,Citadel,0
Sep 19 2020,Liberty,30,Western Kentucky,24
Sep 19 2020,Louisiana,34,Georgia State,31
Sep 19 2020,Louisiana Tech,31,Southern Mississippi,30
Sep 19 2020,Marshall,17,Appalachian State,7
Sep 19 2020,Miami (FL),47,Louisville,34
Sep 19 2020,Navy,27,Tulane,24
Sep 19 2020,North Carolina State,45,Wake Forest,42
Sep 19 2020,Notre Dame,52,South Florida,0
Sep 19 2020,Oklahoma State,16,Tulsa,7
Sep 19 2020,Pittsburgh,21,Syracuse,10
Sep 19 2020,Southern Methodist,65,North Texas,35
Sep 19 2020,Texas State,38,Louisiana-Monroe,17
Sep 19 2020,Texas-El Paso,17,Abilene Christian,13
Sep 19 2020,Texas-San Antonio,24,Stephen F. Austin,10
Sep 19 2020,Troy,47,Middle Tennessee State,14
//4
Sep 24 2020,Alabama-Birmingham,42,South Alabama,10
Sep 25 2020,Texas-San Antonio,37,Middle Tennessee State,35
Sep 26 2020,Alabama,38,Missouri,19
Sep 26 2020,Appalachian State,52,Campbell,21
Sep 26 2020,Auburn,29,Kentucky,13
Sep 26 2020,Baylor,47,Kansas,14
Sep 26 2020,Boston College,24,Texas State,21
Sep 26 2020,Brigham Young,48,Troy,7
Sep 26 2020,Central Florida,51,East Carolina,28
Sep 26 2020,Cincinnati,24,Army,10
Sep 26 2020,Florida,51,Mississippi,35
Sep 26 2020,Georgia,37,Arkansas,10
Sep 26 2020,Iowa State,37,Texas Christian,34
Sep 26 2020,Kansas State,38,Oklahoma,35
Sep 26 2020,Liberty,36,Florida International,34
Sep 26 2020,Louisiana,20,Georgia Southern,18
Sep 26 2020,Louisiana Tech,66,Houston Baptist,38
Sep 26 2020,Miami (FL),52,Florida State,10
Sep 26 2020,Mississippi State,44,Louisiana State,34
Sep 26 2020,Oklahoma State,27,West Virginia,13
Sep 26 2020,Pittsburgh,23,Louisville,20
Sep 26 2020,Southern Methodist,50,Stephen F. Austin,7
Sep 26 2020,Syracuse,37,Georgia Tech,20
Sep 26 2020,Tennessee,31,South Carolina,27
Sep 26 2020,Texas,63,Texas Tech,56
Sep 26 2020,Texas A&M,17,Vanderbilt,12
Sep 26 2020,Texas-El Paso,31,Louisiana-Monroe,6
Sep 26 2020,Tulane,66,Southern Mississippi,24
Sep 26 2020,Virginia,38,Duke,20
Sep 26 2020,Virginia Tech,45,North Carolina State,24
//5
Oct 2 2020,Brigham Young,45,Louisiana Tech,14
Oct 2 2020,Wake Forest,66,Campbell,14
Oct 3 2020,Air Force,40,Navy,7
Oct 3 2020,Alabama,52,Texas A&M,24
Oct 3 2020,Alabama-Birmingham,21,Texas-San Antonio,13
Oct 3 2020,Arkansas,21,Mississippi State,14
Oct 3 2020,Army,55,Abilene Christian,23
Oct 3 2020,Cincinnati,28,South Florida,7
Oct 3 2020,Clemson,41,Virginia,23
Oct 3 2020,Coastal Carolina,52,Arkansas State,23
Oct 3 2020,Florida,38,South Carolina,24
Oct 3 2020,Florida Atlantic,21,Charlotte,17
Oct 3 2020,Florida State,41,Jacksonville State,24
Oct 3 2020,Georgia,27,Auburn,6
Oct 3 2020,Georgia Southern,35,Louisiana-Monroe,30
Oct 3 2020,Georgia State,49,East Carolina,29
Oct 3 2020,Iowa State,37,Oklahoma,30
Oct 3 2020,Kansas State,31,Texas Tech,21
Oct 3 2020,Louisiana State,41,Vanderbilt,7
Oct 3 2020,Mississippi,42,Kentucky,41
Oct 3 2020,North Carolina,26,Boston College,22
